Date,Startup,type,SubVertical,city,Investors Name,investment type,Amount cr
,PEPPERFRY,eCommerce,Furniture eTailer,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,438.2
,EQUICKIES,eCommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,4.172
,KHEL NOW,Consumer Internet,Mobile-based social networking platform,New Delhi,Anglian Omega Network,Seed Funding,4.9
,GADGETWOOD,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,84.0
,DAILYROUNDS,Consumer Internet,Mobile App for Doctors,Bangalore,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,0.0
,FLIXY GAMES,Technology,Mobile Game Publisher for Indian audience,Bangalore,Rebright Partners,Seed Funding,5.95
,HASHTAAG,Technology,Mobile App Development company,Bangalore,Undisclosed investors,Seed Funding,14.0
,PHARMARACK,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,10.43
,CLOUDCHERRY,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,84.0
,PARENTLANE,Consumer Internet,Social Platform for babycare and parenting,Bangalore,Rohit MA,Seed Funding,0.0
,FIRST MOMS CLUB,Consumer Internet,Social Network for Mothers,Mumbai,Idea Wave Labs,Seed Funding,0.0
,INMOTION,Technology,Financial platform for daily wage earning communities,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,0.0
,LETS BARTER,Consumer Internet,Goods & Services Barter Platform,New Delhi,Scale Ventures Funds,Seed Funding,0.0
,EVENGINI,Consumer Internet,Event Registration and Ticketing platform,Chennai,Procam International Pvt. Ltd,Private Equity,0.0
,TINYSTEP,Consumer Internet,Parenting Network Platform,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,22.12
,CANVS,Consumer Internet,Community Platform for Artists and Designers,Mumbai,Pratik Seal,Seed Funding,0.0
,BEARDO,eCommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,7.0
,INSTACAR,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,14.0
,CELES CARE,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,14.0
,DRUVA,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,714.0
,PROMON,eCommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,2.52
,FASTUDENT,eCommerce,Education eCommerce platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,0.0
,UNOCOIN,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,21.0
,DEMYTO,Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,0.0
,ZETA,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,266.0
,KALAAGE,Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,0.0
2016-01-08,HEALTHKART,eCommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,168.0
2016-01-08,MEDINFI,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,2.8
2016-01-08,REPAIREASY,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,3.85
2016-01-08,VOONIK,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,InnoVen Capital,Private Equity,42.0
2016-01-08,TOKRI,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,35.0
2016-02-08,SHEROES,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,25.2
2016-02-08,DAILY NINJA,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,0.0
2016-02-08,YUMLANE,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,14.0
2016-03-08,XCODE,Healthcare,Personal Genomics,Chennai,RoundGlass Partners,Private Equity,0.0
2016-03-08,EXTRACARBON,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding,3.15
2016-03-08,FLICKBAY,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,12.46
2016-04-08,PETOO,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,7.0
2016-04-08,LEHLEHSPORTS,Others,Sports Arena discovery,New Delhi,Anglian Omega Network,Seed Funding,0.0
2016-05-08,TRICOG,Healthcare,Healthcare Analytics Platform,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,0.0
2016-06-08,VST TRAVELS,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,0.378
2016-08-08,ADPUSHUP,Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,0.0
2016-08-08,WEFLY INDOOR SKYDIVING,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,0.56
2016-08-08,MOJARTO,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,6.23
2016-08-08,ZIPGRID,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,2.8
2016-09-08,MOBIDENT,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0.0
2016-09-08,ZEOLR/RESPIRON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0.0
2016-10-08,VEBBLER,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,7.0
2016-10-08,BOMBAY SHAVING COMPANY,eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,8.4
2016-11-08,TRAVELYAARI,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,98.0
2016-11-08,91SPRINGBOARD,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,0.0
2016-11-08,GENEXTSTUDENTS,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,2.926
2016-11-08,ZENOTI,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,210.0
2016-12-08,CROFARM,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,21.0
2016-12-08,FAIRCENT,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,21.0
2016-12-08,INNOVACCER,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,218.4
2016-12-08,CUBEROOT,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,7.0
2016-12-08,FUNCASTIC,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,0.0
,BUTTERCUPS,ECommerce,Women Intimate Wear eTailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,0.0
,ZAPPFRESH,ECommerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Funding,0.0
,OYOROOMS,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,868.0
,HIKE,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,2450.0
,JOOLZ,eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,7.0
,SALEBHAI,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,21.0
,MAKKAJAI,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,3.5
,GRADOPEDIA,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,0.0
,MAALGAADI,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,5.25
,ZIPI,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,0.0
,APPKNOX,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,9.45
,PIKKOL,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,0.0
,MEESHO,eCommerce,Mobile based eCommerce SAAS platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,0.0
,SESAME SOFTWARE,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,0.0
,QUIKR,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,280.0
,DIGIO,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,5.25
,ZIFFITY,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,0.0
,ZZUNGRY,Consumer Internet,Food Delivery platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,0.0
,PURO WELLNESS,healthcare,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,518.0
,FITTERNITY,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,0.0
,TAC SECURITY,Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,0.0
,NOTESGEN,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,1.4
,NEARU,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,0.0
,OCTO.AI,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,2.8
,SHAADISAGA,Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,0.0
,UNAACADEMY,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,14.0
,ADVENIO,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,1.4
,GUARENTED,eCommerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,7.0
,BEYOND EVOLUTION,Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,0.0
,UBER DREAMS,eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,7.0
,CONVEGENIUS,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,12.6
,URBANLADDER,eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,42.0
,ENCASHEA,Consumer Internet,Scrap Collection and Recycling platform,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,0.0
,ENGINEERBABU,Technology,Mobile App & Web Development company,Indore,Scale Ventures,Seed Funding,0.0
,CULT,Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,42.0
,WITWORKS,Technology,Consumer IoT Startup,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,0.0
,NEARFOX,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,\\xc2\\xa0 Arpan Nagdeve",Seed Funding,0.0
,ZOOMCAR,Consumer Internet,Self-driven car booking platform,Bangalore,Ford Smart Mobility Llc,Private Equity,336.0
,PLIX,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding,7.0
,MOBIKWIK,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,560.0
,MYDIDI,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,7.7
,CROWNIT,Consumer Internet,Cashback Mobile app,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,0.0
,LOANTAP,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,42.0
,RUNNR,Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,98.0
,ZOLO,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,0.0
,NOTION PRESS,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,14.0
,LIVSPACE,Consumer Internet,Online portal for Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,210.0
,IAUGMENTOR LABS,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,2.086
,DAYBOX,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,1.456
,PAYTM,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,840.0
,CROPIN,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,28.0
,CANVERA,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge (India) Ltd,Private Equity,42.0
,PRIME FOCUS TECHNOLOGIES,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,0.0
,FLYROBE,eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,74.2
,INCLOV,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,0.0
2016-01-07,RAZORPAY,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,0.0
2016-01-07,DARWINBOX,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,0.0
2016-01-07,VENTURE CATALYSTS,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,7.0
2016-01-07,PRESSPLAY TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,0.0
2016-02-07,PLAYMENT,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,9.8
2016-04-07,WEALTHTRUST,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,0.0
2016-04-07,CUREFIT,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,210.0
2016-04-07,STITCHWOOD,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,2.8
2016-04-07,GRAB.IN,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,28.0
2016-04-07,FULFIL.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,0.0
2016-04-07,NEOGROWTH,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,224.0
2016-05-07,SEEDOC,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,14.0
2016-05-07,BOOKMYSHOW,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,1148.0
2016-05-07,FLYROBE,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,23.8
2016-06-07,HAPPILYUNMARRIED,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,10.36
2016-06-07,DONT SCRATCH YOUR HEAD,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,3.5
2016-06-07,WEDDING WISHLIST,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,4.158
2016-07-07,APPDAILY,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,28.0
2016-07-07,ADYTUDE,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,14.0
2016-07-07,QUICKLI,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,0.0
2016-07-07,SPECTRAVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,0.0
2016-08-07,PITSTOP,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,0.0
2016-08-07,HOLACHEF,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,27.3
2016-11-07,PURPLLE,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,84.0
2016-11-07,TRAK N TELL,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,49.0
2016-11-07,OVERCART,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,42.0
2016-12-07,SIRIONLABS,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,171.5
2016-12-07,GYANDHAN,Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,0.0
2016-12-07,MINTM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,\\xc2\\xa0 Times Internet",Private Equity,0.0
2016-12-07,HITGRIT,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,0.0
2016-12-07,FIND MY STAY,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,0.0
,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,70.0
,UTOO CABS,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,0.0
,TWIGLY,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,8.4
,SHARECHAT,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,18.9
,URBAN TAILOR,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,0.0
,RENTMOJO,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,70.0
,CITYFURNISH,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,0.0
,HEAL INSTITUTE,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,0.0
,AUGRAV,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,6.3
,SHOPPINPAL,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,14.98
,TRANSTUTORS / ASKIITIANS,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,0.0
,WORKAPPS,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,14.0
,BANKERBAY,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,28.0
,BAGGOUT,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,0.0
,TRIPSHELF,eCommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,3.5
,SATVACART,eCommerce,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,0.0
,RIDLR,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,84.0
,YELLOWDIG,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,9.1
,ZUPPLER,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,9.1
,BLUESTONE,eCommerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,420.0
,UNDERDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,0.0
,IMAGEPROVISION,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,0.0
,SAGACITO,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,140.0
,DEAL4LOANS / WISHFIN,Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,210.0
,NIYO SOLUTIONS,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,14.0
,APPLOP,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,3.5
,TAX2WIN,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,14.0
,TRUCKOLA,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,8.33
,ISERVE FINANCIAL,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,0.0
,MYTAXIINDIA,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,14.0
,ABERUK,eCommerce,Online Marketplace for books,Bangalore,Swastika Company Pvt Ltd,Seed Funding,0.0
,WIWIGO,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,8.33
,DRUMS FOOD,Food & Beverage,Yogurt and Ice Cream maker,Mumbai,"Verlinvest, DSG Consumer Partners",,0.0
2016-01-06,CHIKOOP,Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,0.0
2016-01-06,BRIDGEI2I,Technology,Data Analytics Platform,Bangalore,Edelweiss Private Equity,Private Equity,0.0
2016-02-06,DROOM,eCommerce,Online marketplace for used automobiles,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,0.0
2016-02-06,VISIT,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Funding,0.0
2016-02-06,ATOMBERG,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,14.0
2016-02-06,COUTLOOT,eCommerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,0.0
2016-02-06,LIMO,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,14.0
2016-03-06,ICLINIQ,Consumer Internet,Doctor Consultation platform,Bangalore,MadhanKumar Madathupalayam,Seed Funding,0.0
2016-03-06,GOGO TRUCK,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,1.05
2016-03-06,VYOME BIOSCIENCES,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,28.0
2016-06-06,SILLYMONKS,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,6.272
2016-07-06,CUEMATH,Education,K-12 Maths Learning Courses,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,56.0
2016-07-06,KRAZYBEE,Consumer Internet,Student Micro-Loan platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,28.0
2016-07-06,INTGREA,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,1.4
2016-07-06,HELPSHIFT,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,322.0
2016-07-06,CREDITVIDYA,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,14.0
2016-08-06,GREY CAMPUS,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,14.0
2016-08-06,LISTUP,eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,7.0
2016-08-06,6DEGREE,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,2.8
2016-08-06,SHOPWATI,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,0.0
2016-08-06,COOKIFI,Consumer Internet,Online Chef Discovery & Booking Service,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,0.0
2016-08-06,STOREKING,eCommerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Private Equity,224.0
2016-08-06,WIRED HUB,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,0.0
2016-08-06,MYSENIORDOCTOR,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,2.8
2016-09-06,TEABOX,eCommerce,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,0.0
2016-09-06,EXTRAAEDGE,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,0.0
